orden;token;cat1;lema
1;de;e;de
2;la;l;la
3;el;l;el
4;y;c;y
5;en;e;en
6;que;c;que
7;a;e;a
8;los;l;el
9;se;p;él
10;del;l;el
11;no;r;no
12;un;l;un
13;las;l;la
14;por;e;por
15;una;l;un
16;con;e;con
17;que;c;que
18;es;v;ser
19;su;d;su
20;para;e;para
21;al;l;el
22;como;c;como
23;más;r;más
24;lo;p;él
25;o;c;o
26;pero;c;pero
27;me;p;yo
28;sus;d;su
29;le;p;él
30;a;c;a
31;yo;p;yo
32;si;c;si
33;ya;r;ya
34;ha;v;haber
35;porque;c;porque
36;muy;r;muy
37;este;d;este
38;era;v;ser
39;entre;e;entre
40;son;v;ser
41;cuando;c;cuando
42;también;r;también
43;sí;r;sí
44;fue;v;ser
45;que;c;que
46;todo;d;todo
47;está;v;estar
48;dos;m;dos
49;mi;d;mi
50;hay;v;haber
51;sobre;e;sobre
52;había;v;haber
53;hasta;e;hasta
54;esta;d;este
55;sin;e;sin
56;qué;p;qué
57;desde;e;desde
58;años;n;año
59;ser;v;ser
60;lo;p;él
61;tiene;v;tener
62;eso;p;eso
63;todos;d;todo
64;así;r;así
65;ese;d;ese
66;entonces;r;entonces
67;uno;p;uno
68;han;v;haber
69;te;p;tú
70;él;p;él
71;nos;p;yo
72;vez;n;vez
73;parte;n;parte
74;puede;v;poder
75;esa;d;ese
76;pues;c;pues
77;ahora;r;ahora
78;donde;p;donde
79;gran;j;gran
80;de;c;de
81;ni;c;ni
82;bien;r;bien
83;tiempo;n;tiempo
84;sólo;r;sólo
85;durante;r;durante
86;otros;d;otro
87;eh;i;eh
88;otro;d;otro
89;bueno;i;buen
90;ella;p;ella
91;otra;d;otro
92;cada;d;cada
93;vida;n;vida
94;e;c;e
95;país;n;país
96;dijo;v;decir
97;mismo;p;mismo
98;nada;r;nada
99;estaba;v;estar
100;mucho;r;mucho
101;aunque;c;aunque
102;tan;r;tan
103;tres;m;tres
104;siempre;r;siempre
105;después;r;después
106;forma;n;forma
107;hace;v;hacer
108;hacer;v;hacer
109;año;n;año
110;día;n;día
111;gobierno;n;gobierno
112;esto;p;esto
113;decir;v;decir
114;sea;v;ser
115;están;v;estar
116;casa;n;casa
117;hacia;e;hacia
118;va;v;ir
119;mundo;n;mundo
120;ellos;p;él
121;siglo;n;siglo
122;sido;v;ser
123;creo;v;creer
124;cómo;c;cómo
125;aquí;r;aquí
126;algo;p;algo
127;les;p;él
128;tanto;r;tanto
129;unos;l;un
130;cosas;n;cosa
131;estos;d;este
132;mayor;j;mayor
133;claro;j;claro
134;momento;n;momento
135;todas;d;todo
136;otras;d;otro
137;ver;v;ver
138;mientras;c;mientras
139;además;r;además
140;tenía;v;tener
141;tienen;v;tener
142;hoy;r;hoy
143;sino;c;sino
144;nacional;j;nacional
145;contra;e;contra
146;primera;m;primero
147;hombre;n;hombre
148;lugar;n;lugar
149;casi;r;casi
150;algunos;d;alguno
151;menos;r;menos
152;luego;r;luego
153;ejemplo;n;ejemplo
154;usted;p;usted
155;millones;n;millón
156;toda;d;todo
157;presidente;n;presidente
158;he;v;haber
159;sé;v;saber
160;muchos;d;mucho
161;veces;n;vez
162;gente;n;gente
163;mejor;j;mejor
164;ciudad;n;ciudad
165;mí;p;yo
166;embargo;c;embargo
167;quien;p;quien
168;grandes;j;grande
169;nuevo;j;nuevo
170;caso;n;caso
171;días;n;día
172;fueron;v;ser
173;primer;m;primer
174;lo;c;él
175;tú;p;tú
176;ahí;r;ahí
177;estas;d;este
178;trabajo;n;trabajo
179;nosotros;p;yo
180;nunca;r;nunca
181;pueden;v;poder
182;tener;v;tener
183;que;c;que
184;eran;v;ser
185;bajo;e;bajo
186;cosa;n;cosa
187;tipo;n;tipo
188;parece;v;parecer
189;historia;n;historia
190;cuatro;m;cuatro
191;según;e;según
192;dice;v;decir
193;general;j;general
194;muchas;d;mucho
195;la;p;la
196;sin;c;sin
197;allí;r;allí
198;poco;p;poco
199;manera;n;manera
200;fin;n;fin
201;ante;e;ante
202;sistema;n;sistema
203;verdad;n;verdad
204;importante;j;importante
205;noche;n;noche
206;debe;v;deber
207;países;n;país
208;mujer;n;mujer
209;personas;n;persona
210;agua;n;agua
211;obra;n;obra
212;tengo;v;tener
213;guerra;n;guerra
214;dentro;e;dentro
215;mis;d;mi
216;frente;r;frente
217;ojos;n;ojo
218;hizo;v;hacer
219;punto;n;punto
220;habían;v;haber
221;vamos;v;ir
222;lado;n;lado
223;misma;d;mismo
224;medio;-;medio
225;padre;n;padre
226;b;x;b
227;tras;e;tras
228;música;n;música
229;san;j;san
230;tu;d;tu
231;cualquier;d;cualquier
232;grupo;n;grupo
233;esos;d;ese
234;haber;v;haber
235;españa;n;españa
236;lo;e;él
237;después;e;después
238;cinco;m;cinco
239;estar;v;estar
240;algunas;d;algún
241;antes;r;antes
242;nadie;p;nadie
243;poco;j;poco
244;mil;m;mil
245;por;c;por
246;estado;n;estado
247;todavía;r;todavía
248;obras;n;obra
249;nombre;n;nombre
250;josé;n;josé
251;sobre;c;sobre
252;i;v;i
253;nuestro;d;nuestro
254;unas;l;un
255;qué;p;qué
256;través;e;través
257;nueva;j;nuevo
258;problema;n;problema
259;proceso;n;proceso
260;alguna;d;algún
261;tierra;n;tierra
262;desarrollo;n;desarrollo
263;hecho;v;hacer
264;realidad;n;realidad
265;ah;n;ah
266;cuenta;n;cuenta
267;mano;n;mano
268;antes;e;antes
269;esas;d;ese
270;madre;n;madre
271;estoy;v;estar
272;número;n;número
273;van;v;ir
274;acuerdo;n;acuerdo
275;aún;r;aún
276;arte;n;arte
277;familia;n;familia
278;tenemos;v;tener
279;muerte;n;muerte
280;cuerpo;n;cuerpo
281;podía;v;poder
282;da;v;dar
283;población;n;población
284;mayoría;n;mayoría
285;social;j;social
286;centro;n;centro
287;tuvo;v;tener
288;señor;n;señor
289;iba;v;ir
290;nuestra;d;nuestro
291;problemas;n;problema
292;partido;n;partido
293;ir;v;ir
294;ciento;m;ciento
295;pueblo;n;pueblo
296;cierto;j;cierto
297;hombres;n;hombre
298;será;v;ser
299;voy;v;ir
300;incluso;r;incluso
301;manos;n;mano
302;varios;d;varios
303;estamos;v;estar
304;ayer;r;ayer
305;situación;n;situación
306;juan;n;juan
307;persona;n;persona
308;europa;n;europa
309;pregunta;v;preguntar
310;dar;v;dar
311;méxico;n;méxico
312;hemos;v;haber
313;todo;j;todo
314;sería;v;ser
315;estaban;v;estar
316;primero;p;primero
317;algún;d;algún
318;cabeza;n;cabeza
319;voz;n;voz
320;segundo;m;segundo
321;horas;n;hora
322;luz;n;luz
323;don;d;don
324;allá;r;allá
325;podría;v;poder
326;tal;d;tal
327;meses;n;mes
328;norte;n;norte
329;ley;n;ley
330;pasado;v;pasar
331;hora;n;hora
332;llegar;v;llegar
333;partir;e;partir
334;hijo;n;hijo
335;importantes;j;importante
336;junto;j;junto
337;universidad;n;universidad
338;república;n;república
339;política;n;política
340;dio;v;dar
341;mujeres;n;mujer
342;sentido;n;sentido
343;sociedad;n;sociedad
344;dicho;v;decir
345;serie;n;serie
346;no;c;no
347;sur;n;sur
348;hablar;v;hablar
349;nivel;n;nivel
350;sabe;v;saber
351;quién;p;quién
352;seis;m;seis
353;niños;n;niño
354;poder;n;poder
355;ello;p;ello
356;semana;n;semana
357;movimiento;n;movimiento
358;partido;n;partido
359;digo;v;decir
360;primeros;m;primero
361;pesar;r;pesar
362;quiere;v;querer
363;periodo;n;periodo
364;paz;n;paz
365;producción;n;producción
366;gracias;n;gracia
367;mundial;j;mundial
368;fuerza;n;fuerza
369;fuera;v;ser
370;tema;n;tema
371;soy;v;ser
372;eso;c;eso
373;hecho;n;hecho
374;campo;n;campo
375;aire;n;aire
376;bastante;r;bastante
377;diferentes;j;diferente
378;puerta;n;puerta
379;poder;v;poder
380;solo;j;solo
381;hacía;v;hacer
382;tarde;r;tarde
383;francia;n;francia
384;vista;n;vista
385;información;n;información
386;zona;n;zona
387;aquel;d;aquel
388;final;n;final
389;pasa;v;pasar
390;mar;n;mar
391;papel;n;papel
392;paso;n;paso
393;palabras;n;palabra
394;carlos;n;carlos
395;dios;n;dios
396;grande;j;grande
397;buena;j;buen
398;hubiera;v;haber
399;medios;n;medio
400;ningún;d;ningún
401;teatro;n;teatro
402;calle;n;calle
403;política;j;político
404;década;n;década
405;llegó;v;llegar
406;amor;n;amor
407;cultura;n;cultura
408;segunda;m;segundo
409;dinero;n;dinero
410;diez;m;diez
411;edad;n;edad
412;tampoco;r;tampoco
413;demás;j;demás
414;pronto;r;pronto
415;varias;d;varias
416;libro;n;libro
417;internacional;j;internacional
418;fondo;n;fondo
419;orden;n;orden
420;ellas;p;ella
421;especial;j;especial
422;grupos;n;grupo
423;idea;n;idea
424;principales;j;principal
425;ninguna;d;ninguno
426;media;j;medio
427;tal;r;tal
428;cara;n;cara
429;propio;j;propio
430;tenido;v;tener
431;relación;n;relación
432;principio;n;principio
433;decía;v;decir
434;madrid;n;madrid
435;interés;n;interés
436;haciendo;v;hacer
437;luis;n;luis
438;iii;j;iii
439;dado;v;dar
440;quiero;v;querer
441;principal;j;principal
442;hijos;n;hijo
443;respuesta;n;respuesta
444;educación;n;educación
445;niño;n;niño
446;iglesia;n;iglesia
447;realmente;r;realmente
448;visto;v;ver
449;quienes;p;quien
450;cerca;e;cerca
451;difícil;j;difícil
452;real;j;real
453;puedo;v;poder
454;razón;n;razón
455;aquella;d;aquel
456;haya;v;haber
457;mañana;n;mañana
458;miembros;n;miembro
459;cambio;n;cambio
460;cuba;n;cuba
461;formas;n;forma
462;sol;n;sol
463;estudio;n;estudio
464;programa;n;programa
465;región;n;región
466;cabo;n;cabo
467;buen;j;buen
468;proyecto;n;proyecto
469;equipo;n;equipo
470;capital;n;capital
471;político;j;político
472;mediante;e;mediante
473;estado;v;estar
474;seguridad;n;seguridad
475;mercado;n;mercado
476;escuela;n;escuela
477;maría;n;maría
478;propia;j;propio
479;saber;v;saber
480;siguiente;j;siguiente
481;dólares;n;dólar
482;central;j;central
483;dónde;p;dónde
484;ustedes;p;usted
485;investigación;n;investigación
486;camino;n;camino
487;base;n;base
488;presencia;n;presencia
489;fuerzas;n;fuerza
490;modo;n;modo
491;control;n;control
492;apenas;r;apenas
493;siendo;v;ser
494;nuestros;d;nuestro
495;condiciones;n;condición
496;falta;n;falta
497;pasó;v;pasar
498;existe;v;existir
499;ii;n;ii
500;actual;j;actual
501;palabra;n;palabra
502;solamente;r;solamente
503;juego;n;juego
504;estilo;n;estilo
505;nuevos;j;nuevo
506;clase;n;clase
507;nuevas;j;nuevo
508;mira;v;mirar
509;hacen;v;hacer
510;gusta;v;gustar
511;ministro;n;ministro
512;río;n;río
513;director;n;director
514;hubo;v;haber
515;siete;m;siete
516;salir;v;salir
517;lengua;n;lengua
518;trata;v;tratar
519;ambos;d;ambos
520;tarde;n;tarde
521;actividad;n;actividad
522;literatura;n;literatura
523;libre;j;libre
524;elementos;n;elemento
525;libertad;n;libertad
526;pasar;v;pasar
527;pedro;n;pedro
528;alguien;p;alguien
529;debido;v;deber
530;casos;n;caso
531;partes;n;parte
532;importancia;n;importancia
533;mes;n;me
534;energía;n;energía
535;color;n;color
536;posible;n;posible
537;suelo;n;suelo
538;cantidad;n;cantidad
539;uso;n;uso
540;partidos;n;partido
541;estado;n;estado
542;relaciones;n;relación
543;elecciones;n;elección
544;demasiado;r;demasiado
545;organización;n;organización
546;mucha;d;mucho
547;viene;v;venir
548;libros;n;libro
549;favor;n;favor
550;economía;n;economía
551;llama;v;llamar
552;congreso;n;congreso
553;sigue;v;seguir
554;tenían;v;tener
555;seguir;v;seguir
556;derecho;n;derecho
557;servicio;n;servicio
558;productos;n;producto
559;recursos;n;recurso
560;principios;n;principio
561;carrera;n;carrera
562;económica;j;económico
563;alto;j;alto
564;estudios;n;estudio
565;véase;v;ver
566;ve;v;ver
567;quedó;v;quedar
568;boca;n;boca
569;queda;v;quedar
570;prensa;n;prensa
571;ocho;m;ocho
572;origen;n;origen
573;igual;n;igual
574;encuentra;v;encontrar
575;acción;n;acción
576;policía;n;policía
577;atención;n;atención
578;fuerte;j;fuerte
579;para;c;para
580;deben;v;deber
581;finales;n;final
582;vi;v;ver
583;especialmente;r;especialmente
584;parecía;v;parecer
585;valor;n;valor
586;los;p;el
587;puntos;n;punto
588;sangre;n;sangre
589;habitantes;n;habitante
590;comenzó;v;comenzar
591;espacio;n;espacio
592;dije;v;decir
593;dirección;n;dirección
594;alta;j;alto
595;mayo;n;mayo
596;julio;n;julio
597;ciudades;n;ciudad
598;estuvo;v;estar
599;largo;e;largo
600;américa;n;américa
601;cuanto;c;cuanto
602;s;x;s
603;ii;n;ii
604;especie;n;especie
605;sector;n;sector
606;especies;n;especie
607;dicen;v;decir
608;trabajar;v;trabajar
609;sabía;v;saber
610;quería;v;querer
611;silencio;n;silencio
612;antonio;n;antonio
613;pensar;v;pensar
614;resto;n;resto
615;temas;n;tema
616;empresa;n;empresa
617;pudo;v;poder
618;introducción;n;introducción
619;naturaleza;n;naturaleza
620;alemania;n;alemania
621;cuál;p;cuál
622;derechos;n;derecho
623;carácter;n;carácter
624;minutos;n;minuto
625;próximo;j;próximo
626;oro;n;oro
627;tomar;v;tomar
628;rey;n;rey
629;menor;j;menor
630;volvió;v;volver
631;estructura;n;estructura
632;zonas;n;zona
633;capacidad;n;capacidad
634;pocos;d;poco
635;vio;v;ver
636;santa;j;santo
637;futuro;n;futuro
638;dejó;v;dejar
639;vivir;v;vivir
640;comercio;n;comercio
641;influencia;n;influencia
642;pequeño;j;pequeño
643;sociales;j;social
644;anterior;j;anterior
645;alrededor;e;alrededor
646;tiempos;n;tiempo
647;superficie;n;superficie
648;vos;p;vos
649;línea;n;línea
650;territorio;n;territorio
651;pri;n;pri
652;jefe;n;jefe
653;posición;n;posición
654;crisis;n;crisis
655;imagen;n;imagen
656;pública;j;público
657;doctor;n;doctor
658;habla;v;hablar
659;pueda;v;poder
660;española;j;español
661;conocer;v;conocer
662;autoridades;n;autoridad
663;que;c;que
664;experiencia;n;experiencia
665;cuyo;p;cuyo
666;español;j;español
667;atrás;r;atrás
668;existen;v;existir
669;mitad;n;mitad
670;materia;n;materia
671;mal;n;mal
672;cuya;p;cuyo
673;ejército;n;ejército
674;animales;n;animal
675;menos;c;menos
676;salud;n;salud
677;mesa;n;mesa
678;señora;n;señor
679;quizá;r;quizá
680;económico;j;económico
681;cual;p;cual
682;unión;n;unión
683;posibilidad;n;posibilidad
684;parís;n;parís
685;popular;j;popular
686;viejo;n;viejo
687;calidad;n;calidad
688;interior;n;interior
689;v;x;xx_v
690;habría;v;haber
691;padres;n;padre
692;corazón;n;corazón
693;políticos;j;político
694;comunidad;n;comunidad
695;necesidad;n;necesidad
696;viaje;n;viaje
697;miedo;n;miedo
698;construcción;n;construcción
699;fuera;e;ser
700;puso;v;poner
701;natural;j;natural
702;ideas;n;idea
703;cambios;n;cambio
704;amigos;n;amigo
705;siquiera;r;siquiera
706;crecimiento;n;crecimiento
707;campaña;n;campaña
708;hicieron;v;hacer
709;podemos;v;poder
710;duda;n;duda
711;aquellos;d;aquel
712;tipos;n;tipo
713;opinión;n;opinión
714;militar;j;militar
715;x;x;x
716;función;n;función
717;actividades;n;actividad
718;apoyo;n;apoyo
719;baja;j;bajo
720;encuentran;v;encontrar
721;humano;j;humano
722;largo;j;largo
723;tienes;v;tener
724;adelante;r;adelante
725;total;j;total
726;pintura;n;pintura
727;lucha;n;lucha
728;defensa;n;defensa
729;junio;n;junio
730;momentos;n;momento
731;necesario;j;necesario
732;digamos;i;decir
733;siglos;n;siglo
734;conjunto;n;conjunto
735;enorme;j;enorme
736;decisión;n;decisión
737;poner;v;poner
738;convirtió;v;convertir
739;empresas;n;empresa
740;servicios;n;servicio
741;italia;n;italia
742;primeras;m;primero
743;autor;n;autor
744;llevar;v;llevar
745;pie;n;pie
746;televisión;n;televisión
747;teoría;n;teoría
748;ambiente;n;ambiente
749;pequeña;j;pequeño
750;formación;n;formación
751;dejar;v;dejar
752;madera;n;madera
753;esté;v;estar
754;abril;n;abril
755;causa;n;causa
756;precisamente;r;precisamente
757;cultural;j;cultural
758;aspecto;n;aspecto
759;mal;j;mal
760;común;j;común
761;humanos;j;humano
762;cargo;n;cargo
763;creación;n;creación
764;público;n;público
765;sola;j;solo
766;estadounidense;j;estadounidense
767;evitar;v;evitar
768;plata;n;plata
769;datos;n;dato
770;oficial;j;oficial
771;enero;n;enero
772;manuel;n;manuel
773;treinta;m;treinta
774;llega;v;llegar
775;diferencia;n;diferencia
776;habrá;v;haber
777;lleva;v;llevar
778;empezó;v;empezar
779;cuarto;n;cuarto
780;jamás;r;jamás
781;encontrar;v;encontrar
782;pasado;n;pasado
783;obstante;r;obstar
784;colegio;n;colegio
785;has;v;haber
786;buscar;v;buscar
787;trabajadores;n;trabajador
788;ido;v;ir
789;ministerio;n;ministerio
790;sueño;n;sueño
791;mismos;p;mismo
792;cual;p;cual
793;veinte;m;veinte
794;finalmente;r;finalmente
795;quizás;r;quizás
796;mirada;n;mirada
797;hija;n;hijo
798;chile;n;chile
799;mamá;n;mamá
800;dan;v;dar
801;cuestión;n;cuestión
802;occidental;j;occidental
803;distintos;j;distinto
804;ayuda;n;ayuda
805;cierta;j;cierto
806;superior;j;superior
807;candidato;n;candidato
808;agosto;n;agosto
809;arriba;r;arriba
810;isla;n;isla
811;cama;n;cama
812;ex;j;ex
813;llegado;v;llegar
814;produce;v;producir
815;casas;n;casa
816;respecto;n;respecto
817;antigua;j;antiguo
818;entrar;v;entrar
819;museo;n;museo
820;sistemas;n;sistema
821;industria;n;industria
822;c;-;c
823;reunión;n;reunión
824;consejo;n;consejo
825;resulta;v;resultar
826;efecto;n;efecto
827;novela;n;novela
828;tratado;v;tratar
829;plantas;n;planta
830;amigo;n;amigo
831;comisión;n;comisión
832;esfuerzo;n;esfuerzo
833;mañana;r;mañana
834;espera;v;esperar
835;reforma;n;reforma
836;comunicación;n;comunicación
837;calor;n;calor
838;costa;n;costa
839;diciembre;n;diciembre
840;sabes;v;saber
841;volver;v;volver
842;pequeños;j;pequeño
843;civil;j;civil
844;radio;n;radio
845;lugares;n;lugar
846;compañía;n;compañía
847;fue;v;ir
848;llevó;v;llevar
849;humana;j;humano
850;piel;n;piel
851;existencia;n;existencia
852;imperio;n;imperio
853;término;n;término
854;orquesta;n;orquesta
855;hacerlo;v;hacer
856;cielo;n;cielo
857;igual;j;igual
858;asunto;n;asunto
859;electoral;j;electoral
860;expresión;n;expresión
861;marzo;n;marzo
862;análisis;n;análisis
863;público;j;público
864;distintas;j;distinto
865;plaza;n;plaza
866;estás;v;estar
867;actualidad;n;actualidad
868;curso;n;curso
869;rostro;n;rostro
870;abajo;r;abajo
871;figura;n;figura
872;oportunidad;n;oportunidad
873;supuesto;r;supuesto
874;tradición;n;tradición
875;fácil;j;fácil
876;ocasiones;n;ocasión
877;joven;n;joven
878;clases;n;clase
879;pesetas;n;peseta
880;octubre;n;octubre
881;somos;v;ser
882;leyes;n;ley
883;hablando;v;hablar
884;daba;v;dar
885;régimen;n;régimen
886;conocimiento;n;conocimiento
887;unidad;n;unidad
888;nueve;m;nueve
889;objeto;n;objeto
890;metros;n;metro
891;suerte;n;suerte
892;iv;n;iv
893;oye;v;oír
894;instituciones;n;institución
895;cámara;n;cámara
896;constitución;n;constitución
897;personal;j;personal
898;oposición;n;oposición
899;buenas;j;buen
900;profesor;n;profesor
901;poesía;n;poesía
902;tenga;v;tener
903;en;c;en
904;totalmente;r;totalmente
905;septiembre;n;septiembre
906;flores;n;flor
907;estudiar;v;estudiar
908;brazos;n;brazo
909;debía;v;deber
910;banco;n;banco
911;enfermedad;n;enfermedad
912;xx;j;xx
913;sean;v;ser
914;mm;x;mm
915;programas;n;programa
916;cincuenta;m;cincuenta
917;miguel;n;miguel
918;blanca;j;blanco
